Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,22.0,1,0,7,0,1,0,0,1
1,1,38.0,1,0,71,1,0,1,0,0
1,3,26.0,0,0,7,1,0,0,0,1
1,1,35.0,1,0,53,1,0,0,0,1
0,3,35.0,0,0,8,0,1,0,0,1
0,3,30.0,0,0,8,0,1,0,1,0
0,1,54.0,0,0,51,0,1,0,0,1
0,3,2.0,3,1,21,0,1,0,0,1
1,3,27.0,0,2,11,1,0,0,0,1
1,2,14.0,1,0,30,1,0,1,0,0
1,3,4.0,1,1,16,1,0,0,0,1
1,1,58.0,0,0,26,1,0,0,0,1
0,3,20.0,0,0,8,0,1,0,0,1
0,3,39.0,1,5,31,0,1,0,0,1
0,3,14.0,0,0,7,1,0,0,0,1
1,2,55.0,0,0,16,1,0,0,0,1
0,3,2.0,4,1,29,0,1,0,1,0
1,2,30.0,0,0,13,0,1,0,0,1
0,3,31.0,1,0,18,1,0,0,0,1
1,3,30.0,0,0,7,1,0,1,0,0
0,2,35.0,0,0,26,0,1,0,0,1
1,2,34.0,0,0,13,0,1,0,0,1
1,3,15.0,0,0,8,1,0,0,1,0
1,1,28.0,0,0,35,0,1,0,0,1
0,3,8.0,3,1,21,1,0,0,0,1
1,3,38.0,1,5,31,1,0,0,0,1
0,3,30.0,0,0,7,0,1,1,0,0
0,1,19.0,3,2,263,0,1,0,0,1
1,3,30.0,0,0,7,1,0,0,1,0
0,3,30.0,0,0,7,0,1,0,0,1
0,1,40.0,0,0,27,0,1,1,0,0
1,1,30.0,1,0,146,1,0,1,0,0
1,3,30.0,0,0,7,1,0,0,1,0
0,2,66.0,0,0,10,0,1,0,0,1
0,1,28.0,1,0,82,0,1,1,0,0
0,1,42.0,1,0,52,0,1,0,0,1
1,3,30.0,0,0,7,0,1,1,0,0
0,3,21.0,0,0,8,0,1,0,0,1
0,3,18.0,2,0,18,1,0,0,0,1
1,3,14.0,1,0,11,1,0,1,0,0
0,3,40.0,1,0,9,1,0,0,0,1
0,2,27.0,1,0,21,1,0,0,0,1
0,3,30.0,0,0,7,0,1,1,0,0
1,2,3.0,1,2,41,1,0,1,0,0
1,3,19.0,0,0,7,1,0,0,1,0
0,3,30.0,0,0,8,0,1,0,0,1
0,3,30.0,1,0,15,0,1,0,1,0
1,3,30.0,0,0,7,1,0,0,1,0
0,3,30.0,2,0,21,0,1,1,0,0
0,3,18.0,1,0,17,1,0,0,0,1
0,3,7.0,4,1,39,0,1,0,0,1
0,3,21.0,0,0,7,0,1,0,0,1
1,1,49.0,1,0,76,1,0,1,0,0
1,2,29.0,1,0,26,1,0,0,0,1
0,1,65.0,0,1,61,0,1,1,0,0
1,1,30.0,0,0,35,0,1,0,0,1
1,2,21.0,0,0,10,1,0,0,0,1
0,3,28.5,0,0,7,0,1,1,0,0
1,2,5.0,1,2,27,1,0,0,0,1
0,3,11.0,5,2,46,0,1,0,0,1
0,3,22.0,0,0,7,0,1,1,0,0
1,1,38.0,0,0,80,1,0,0,0,1
0,1,45.0,1,0,83,0,1,0,0,1
0,3,4.0,3,2,27,0,1,0,0,1
0,1,30.0,0,0,27,0,1,1,0,0
1,3,30.0,1,1,15,0,1,1,0,0
1,2,29.0,0,0,10,1,0,0,0,1
0,3,19.0,0,0,8,0,1,0,0,1
1,3,17.0,4,2,7,1,0,0,0,1
0,3,26.0,2,0,8,0,1,0,0,1
0,2,32.0,0,0,10,0,1,0,0,1
0,3,16.0,5,2,46,1,0,0,0,1
0,2,21.0,0,0,73,0,1,0,0,1
0,3,26.0,1,0,14,0,1,1,0,0
1,3,32.0,0,0,56,0,1,0,0,1
0,3,25.0,0,0,7,0,1,0,0,1
0,3,30.0,0,0,7,0,1,0,0,1
0,3,30.0,0,0,8,0,1,0,0,1
1,2,0.83,0,2,29,0,1,0,0,1
1,3,30.0,0,0,12,1,0,0,0,1
0,3,22.0,0,0,9,0,1,0,0,1
1,3,29.0,0,0,9,0,1,0,0,1
1,3,30.0,0,0,7,1,0,0,1,0
0,1,28.0,0,0,47,0,1,0,0,1
1,2,17.0,0,0,10,1,0,0,0,1
1,3,33.0,3,0,15,1,0,0,0,1
0,3,16.0,1,3,34,0,1,0,0,1
0,3,30.0,0,0,8,0,1,0,0,1
1,1,23.0,3,2,263,1,0,0,0,1
0,3,24.0,0,0,8,0,1,0,0,1
0,3,29.0,0,0,8,0,1,0,0,1
0,3,20.0,0,0,7,0,1,0,0,1
0,1,46.0,1,0,61,0,1,0,0,1
0,3,26.0,1,2,20,0,1,0,0,1
0,3,59.0,0,0,7,0,1,0,0,1
0,3,30.0,0,0,8,0,1,0,0,1
0,1,71.0,0,0,34,0,1,1,0,0
1,1,23.0,0,1,63,0,1,1,0,0
1,2,34.0,0,1,23,1,0,0,0,1
0,2,34.0,1,0,26,0,1,0,0,1
0,3,28.0,0,0,7,1,0,0,0,1
0,3,30.0,0,0,7,0,1,0,0,1
0,1,21.0,0,1,77,0,1,0,0,1
0,3,33.0,0,0,8,0,1,0,0,1
0,3,37.0,2,0,7,0,1,0,0,1
0,3,28.0,0,0,7,0,1,0,0,1
1,3,21.0,0,0,7,1,0,0,0,1
1,3,30.0,0,0,7,0,1,0,0,1
0,3,38.0,0,0,7,0,1,0,0,1
1,3,30.0,1,0,24,1,0,0,1,0
0,1,47.0,0,0,52,0,1,0,0,1
0,3,14.5,1,0,14,1,0,1,0,0
0,3,22.0,0,0,8,0,1,0,0,1
0,3,20.0,1,0,9,1,0,0,0,1
0,3,17.0,0,0,14,1,0,1,0,0
0,3,21.0,0,0,7,0,1,0,0,1
0,3,70.5,0,0,7,0,1,0,1,0
0,2,29.0,1,0,21,0,1,0,0,1
0,1,24.0,0,1,247,0,1,1,0,0
0,3,2.0,4,2,31,1,0,0,0,1
0,2,21.0,2,0,73,0,1,0,0,1
0,3,30.0,0,0,8,0,1,0,0,1
0,2,32.5,1,0,30,0,1,1,0,0
1,2,32.5,0,0,13,1,0,0,0,1
0,1,54.0,0,1,77,0,1,0,0,1
1,3,12.0,1,0,11,0,1,1,0,0
0,3,30.0,0,0,7,0,1,0,1,0
1,3,24.0,0,0,7,0,1,0,0,1
1,3,30.0,1,1,22,1,0,1,0,0
0,3,45.0,0,0,6,0,1,0,0,1
0,3,33.0,0,0,7,0,1,1,0,0
0,3,20.0,0,0,7,0,1,0,0,1
0,3,47.0,1,0,14,1,0,0,0,1
